Category,Industry Type,Resume
Wipro,IT,"Endpoint security, Network security, Cloud security, Application security"
Infosys,IT,"SIEM tools, Firewalls, IDS/IPS"
Cyient,Engineering,"UBA tools, EDR tools"
HCL Technologies,IT,"Vulnerability management, Security orchestration, automation and response (SOAR), Threat intelligence"
Tech Mahindra,IT,"Data loss prevention (DLP), Managed security services (MSS), Security awareness training"
Zscaler India,IT Security,"Cloud security, Zero trust network access (ZTNA)"
Sequretek,IT Security,"Network security, Endpoint security, Vulnerability management, Managed detection and response (MDR)"
Mu Sigma,Analytics & Decision Sciences,"Hadoop, Spark, Python (libraries like NumPy, Pandas, Scikit-learn), R, Machine Learning, Deep Learning"
Fractal Analytics,AI & Analytics,"Cloud platforms (AWS, Azure, GCP), Big data tools (Hadoop, Spark), Machine Learning, Artificial Intelligence"
Accenture India,Professional Services,"Advanced analytics tools (Tableau, QlikView), Data visualization tools, Machine Learning, Big data platforms"
Gramener,Data Science Platform,"Data visualization tools, Business intelligence (BI) tools, Machine Learning, Cloud platforms (AWS, Azure, GCP)"
LatentView Analytics,Digital Analytics,"Marketing analytics tools (Google Analytics, Adobe Analytics), Customer relationship management (CRM) tools, Data visualization tools, Machine Learning"
TCS (Tata Consultancy Services),IT,"Hadoop, Spark, Machine Learning, Deep Learning, Big data analytics tools"
Wipro,IT,"Cloud platforms (AWS, Azure, GCP), Business intelligence (BI) tools, Data warehousing, Data mining"
Infosys, ,"Data visualization tools, Advanced analytics tools, Machine Learning, Big data platforms"
Impetus Consulting,Data Engineering & Analytics,"Data management platforms, Data lakes, Cloud platforms (AWS, Azure, GCP), Machine Learning"
Capgemini India,IT Consulting,"Business intelligence (BI) tools, Data visualization tools, Data warehousing, Machine Learning"
Aalpha Information Systems,IT Services,Custom RPA solutions for startups and enterprises
Signity Solutions,Software Development,"High-performance, custom RPA solutions"
Opteamix,Automation Consulting,"RPA alongside AI, DevOps, and other automation technologies"
EPSoft Technologies,AI & Automation,RPA platform (EZFlow) with a focus on AI integration
OrangeMantra,IT Services,"RPA development for various industries, including healthcare"
UiPath India,RPA Software,Leading global RPA platform provider with a strong presence in India
Automation Anywhere India,RPA Software,Another major RPA platform provider with an Indian branch
Tata Advanced Systems (TAS),Engineering & Defence,RPA solutions for complex industrial processes
Hexaware Technologies,IT Services,RPA along with digital transformation and business process outsourcing
Mindtree,IT Consulting,RPA for automating IT and business processes
