Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Turing,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3832801334/?eBP=CwEAAAGN_qj2SMY6Qmig46cJGEsPA_s-DEBGcwOmiwbLHl9hUKlHYLQXOh_pGXtXppkJ62FuRZAxSOrvyVKIyD2kxhxuawha-N0QoDf4DlMzPDaT9K-xBIpzDKS2UurhHHPQVeTeiu9EG8eJEPlNFRIoMPLmWxVBvBLsdRqwTACSlAdRuKgILJfJZbDtUdeTtOh2c7ZN1Jxjvw5CHBfZZdumBfsqjBqAF_hzMr5VX6_oDFhdJr_eapNYLUXPxX-vFgWwv8qR6-dGIEZVJ0CPA-8cu9PePeoYA-V5NnMwDHUutWzmK-rCdGLU5nfta-B966Oof1Hh0RhDGfiBc6yhcJDGQD03tt2k6uooKTqhZJ4EmYMVJ3m13DSk_MFhGETamspyakmT14oc9wk&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=GCgZHWFvp79fskeL4dhSUg%3D%3D&trk=flagship3_search_srp_jobs
Infosys,Python Developer,"Bengaluru East, Karnataka, India (On-site)",1 company alum works here,https://www.linkedin.com/jobs/view/3837604114/?eBP=CwEAAAGN_qj2SfqjOoW3I46P276NUebrm_rx5VUmSWWDxQiW8E7-edGmMdkwrYLyFTUx-zqf4PDvM98YU2lShpuwDUxlsyQZX0tSnZnsCXZ7a0QfsdSk-Np8BF0Y1ORdp844AyCfhTudKSEplkNfKYAC94wTCwDDsvtk7-Wd52EFYqgOM3-qJMvVQbpi0IqDkgOoEiBU-RiuoHQjpTOwyTEeIhiXY0LXND5KsyIeCfbWvFYHl6O2jLemvH_ZOlDS0QQzGc_t59NRZEs1WO3t_LlmVhCGFlPMelL378fjJ9gQyzDBzHOF9UCJjgZCP1_WTvmdDvCw9NtVW0JK9U4dTRFywRtMVSKjQaccwWfeJDfbhKzF4UJF7qBm&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=13%2B24%2FIuLKE2n5W5iaELSg%3D%3D&trk=flagship3_search_srp_jobs
PURVIEW,Python Developer,"Pune, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3837537276/?eBP=CwEAAAGN_qj2SRp4LaEywCpLVgBIqiCDkZ--WpefJFE0Wxvv5alzW1y6ayMtxxhFQsEWy_sUHwbMAs49fVHaWtbjXv-NW2DMuqeY2TqgnunCwy3womVVmMTPxJZybAF1-ObMpV2NGVDJnynj24oyO7RoQ9SkMA-JX0-3tfCeOnLFHX-BtsoEGNDDkhQRrkbKS542Hk-QooSk7jE6Uh4KOJkk9aO52EverQjvdVHGbafyxIGWLLEwOGLFU9ee3ovk2sMy6thDLDansTzjdgr-oB4rLUEjQckDThxjZCFtzk6WDJvp7VzX46YnzOu-7dH4z3QjhjgKZuUaj0n_tXzOInXz_jD_Uxx61x_NuJikJ2_NXH80mUTx6I2NspFYi3sRBckaQEpnqg9WgT_LseIyYwI_0qcLJmBTz0c&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=wat8mTYNlVrObwrH%2FH0iwQ%3D%3D&trk=flagship3_search_srp_jobs
Beinex,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3809159369/?eBP=CwEAAAGN_qj2SdDE0C-bWNkMs8KUp1iqgfEmF6hyGCpduGxMfkF3rNbj8Z3wQFtbG0dJgXsEF5VNEz4S6dnWgefwRhs9JtX2vnD2Vu-YOTfhAwMesLmgb_8dKlvs3op_mREy5Vr9LPsrdBGXY6GxNlNvm8r-BxwRrMP5Op4gOs9ju4SEDXSHXGBOx0Ov5dLGLPlGNFTiNtYaAOAYkG8RMFh9IC_jfcWzm04WMVWvZcCsgjq87e4gZqRWOteyze3zGOMKPhaoM2_uUj1rHrJ7TnFZUE_fwAGbC-KJ-37rfxSmhTC8A3DF6zcNnCz_VZQSm2JSONIj8PQmzS0I8r0hP1q3ZA1lnARg-Mgb9lEZFVUdZnCvaGGgqGmcfaqWwitT37O2qtvdKGBxLO7PDbQ&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=EYH%2BZeyFZN%2FO88Cz6YLLrA%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Python Developer,"Bangalore Urban, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3817237608/?eBP=CwEAAAGN_qj2Sf8Dizv3QLihVTimMmB6pma6WQNoOaHbv2_OBT_gOeS_4YSfD6tHng2F1XPiFJVSwbzAa-UWlvZ-PdHEXvCb7mIFQdcqx4QwVm4GeOr99u6IxBtIJz3nhDURAG2A8GpCewexPECMB0ZtkAXp4HOv2M0tMl0oioxfsoIygjDGiRpmcJBlBHmJCX9_Yo-Ywjff7j2NtdxfhH0KJDlqommCX1CpJWlavpLLKXmIz4t5q7v1FbN5f0rQsNGAlzVSMPXFqLIihYdJ3YSTtyaFb0Jd7oivz_PAltA6nmSBbThzjWLhs6BwZK229kB4sQtenfyVGSnKH9kwSEX_YRpdVll1F7cDoi27QjAD-U3o6UTK9gIpmcOR6B8gxS1lEw8r3MI0jj7vx6qBdCOjvPaepQ9S&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=J9gg%2FIonswrcB4otxKPLJw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Python Developer,"Mumbai, Maharashtra, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3817804451/?eBP=CwEAAAGN_qj2SdjaiWG1Dz2DUdhEixcwj75FAaj09H0zFmhZ17vburbLvjFu8q0A64971yFh-GNdP-vcHa8vI5C6XSgp9aUTmNBaacb6-MsxHuuswbqW0J79ofvQa9L9aWBMerNvlWhH6DSBSIZSeDexdWj5PDjIfLKD9r00juVaH3LVkydvOf3XxfhIbDZqkp4H4zwXQmTg6fcJTUBiigdOwF-PrdRkEr-SgjlDLmMFcAyRynafDO5KKczs4Z-MyZyTdZW4lJpEd5smT75EzXcwdEX4MufKvDXkuN4FFLWyd1BNDTwvKOITgRpYdGSp9q4E2uGRwowJ9ijSCBGR77ZmprpZxVd6bALhQJgOzeIQ5Ni4B6RPbaLL&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=4F6BR7WjPnFe2%2BqmPHqOiw%3D%3D&trk=flagship3_search_srp_jobs
Turing,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3808866875/?eBP=CwEAAAGN_qj2SQNWS5-PqK24iV4LHzBIVo9gm3Ea-bOhGDw5NevpZhE8C-FHJh9wFPWuKxfpDZjh0v1yBWzQiDajdDJTMhm3_CLrDsdp6HWa5H_U8pHqO-_FMmpc_JP0XrebYi6t6dk_wl7e1bwIJOK1D-gSULwkeRzHwYboDnnzxUOPvbCMp7yNf1IQVyvYmEa-JOgHOmKxq5iDXut0WquYZm0mYwL2KifdAtkcAukfjJnNPWdi_OgJIiAZziVe5aWZqRlGbPO0jNfM4qLsfO3xenVSSbbXimgmT58BxAcVW68G0vIJs7XWPc3ZeYmQp7fgqdHvlVtGl78idccDCEcUBbvoZgDZZHLF0faMWqEOIKI-dnJGpMHp88b31_1j2xlJvfQEHFDAw1I&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=nuW6Z%2B6DNKfWkQ1pwVrRlA%3D%3D&trk=flagship3_search_srp_jobs
YASH Technologies,Python Developer,"Pune, Maharashtra, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3833631263/?eBP=CwEAAAGN_qj2SffgzEoc3DiZGj_3UPHhczmUojFLRMkQ3cA4KbwGxz7aWs94Fr3P6qFxidwdU6l6odHPpful4jn5SlUzLJftDr74FB2Op6mK80MlvbVs_yyRpy7-0lmLfZFQr__ctGSYIrMtAR0la_sf-DN8WGScyX1rYQJfy9CUN0jkJvye0RZHPee6QRYhYEfGfYxtpPaxzexAcu0b1VZBLXJRpK_oEVzSaLxSUxYFw27LGhUYG1atsJkbRlCcgyHf52TG2u75fLnvrK0ghUY1dneRzOH1Y2ksIOrwLs0-5JEGptUa6pBH8eiUSoVS_QhFvaKi8s1ihF0AvDI9Ax3DgrADw6DsdbTf-2pPYvyar_6268yyiX5ylERCTPP6yDHLG3Z8U62FsCz1VDRn5K3VmfqGku-4fQ0&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=Ix3S2HSCIRVzTeVvtLm5nw%3D%3D&trk=flagship3_search_srp_jobs
Perficient,Python Developer,"Nagpur, Maharashtra, India (On-site)",2 connections work here,https://www.linkedin.com/jobs/view/3815695847/?eBP=CwEAAAGN_qj2ScxeFYcMRnACN5GIZrdA_nl3AWyNQEpwF7uOmaOKsaJkBaCKRf672pq4CwuFF6gENGGar_LT0DJ9ZXUIPdc2ZWA9rFyzPaWgpP1-METW87GBt0QmtBzgxLgWUKxFsLyz5z99hoEPwPz2Q6GqxmKR_FVy4wetpod3Ea5AeQbpjivzSx9dPCduIbsoWIOjFCY9S3-kIfBiTA0OW3zEof6QT3aisW5v_cEX6lXZHO_zEKssSYN4yXxz_7Xrl-MANmMvRIGM5-lsGciv7hEj3gaiEt-FSA-mH_ZMEumUFMCQH9vusHm1n7lnUe8sRv288X0y4s__2fYyJfQSnQ9qmdMxzI0KdHJvWB2NRLx_qTFqqWXXBhXl6ZNKtl04tWd8_NTDKE2j1dC47ZfXwf-f9vxIIYk&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=THua9dgjxeWmpYxi4t0uYw%3D%3D&trk=flagship3_search_srp_jobs
Turing,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3834668725/?eBP=CwEAAAGN_qj2SXR6WLcybaunOzwp0C0w40o3H2Of-8BNI95pikSg8mAqNEa9y6TeAIAC4crgaExUW4_D8398XvlpU2AdFVw_3i4caDD4KV7Omj8nPMaONTaCkslhofoSkjnfhmbYfx7ivc9wmW-ik_3L4exW_uRvBiRuacvYJDkOyBLwCugaYtzDzjGdV2jfOHjZiW3QZgWN42cvc0VxkZHguhvIur0XL62FRiJzZ5TALp5vi1_2eygxQ6ufcFtt9RrHNQwZ3f12i0WCaiRP_M6lAVo10Zr9uD6wUG32gPICQoQCTcBQPmgbqEWXaPrIDiPI_8NeHALqnR2x8a6gMVxXl2MTEvZBtBYAkmaOIKOz2Nc7Z7A69EI_OVd1A2GKbReOC9QbdcKiM98GhJ--YicTVukCDTRhMZc&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=Wspk0hesuImzNBA0tbqSJA%3D%3D&trk=flagship3_search_srp_jobs
Think360.ai,Python Software developer,"Mumbai, Maharashtra, India (On-site)",,https://www.linkedin.com/jobs/view/3841734553/?eBP=CwEAAAGN_qj2Sc3hgeRoPGwfDAr4ZHZxnsqq5eBiQyPZGHRvKhhPk8xszLNF3_ILVubqBVPiVxJc-C4yq7MzFtFdNiUKqhfpj03xIvwMyUQqFUab4C2LygDGJVDZRBS0aVziXfdtbuJdrEFzOJAjj03ysnz6ikVzxZkDSFq5HkT2VtXsmiWbjge433LNLEl578dSVaXBQVUg6epz0ZJELp245UZwaFe5jSqJgtTHycN78aRtBQ4JTfnppmaJcspfhER-YKrl6_NY6C9XpJepSzAOFoauRbew69BkXaqja2xGYFTUqrnU_csmOeuhHUdS1aeqykF1acmM0K5xeE4xZeOkrjJADPtLVR7YF7D4ZleSUP7RvFCbodjp&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=vCNFCiO5J0g74Z7eD%2Fq5pw%3D%3D&trk=flagship3_search_srp_jobs
SmartBots AI,Python Developer,"Hyderabad, Telangana, India (On-site)",,https://www.linkedin.com/jobs/view/3840141729/?eBP=CwEAAAGN_qj2SdMZwh2_C45g4R_W08pJPpqliq37UFtkMf7EH1UWx0gOeNWK0kfVM1ZPEjv1FJqUz6YuzkV8GounZd_Am1-ozc45CfydLts3ORiaReMPZmuak-GNHggifHBVz_JHGEo3J0GwbTn-M73NtVuAqpn9ML650NcL_pI_VvKx1or0_wQDkm3Q2FYDS_gO0zPfrvNH0oHBe3HVvN0OMooKV2wn3XEdqkJvtihe-bfLxcWwWXp6jez-B6dhS4mcT_Hv0Jw3ifk-vW1E0egJdQByTz_VtWjh4-aXemlMmOKKld-9reCCxSN4z7QALHBTii1xz1pRLxzn0TiTUGMpfQrd_JmGNmPlXh1EQrqQuMgf4evHOz4o&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=cXk4gi5XM0bjmWUC%2F6ZTjw%3D%3D&trk=flagship3_search_srp_jobs
