Company,Industry,Tech Stack (Primary Focus),
Urban Company,Home Services,"Frontend: React Native (Mobile App), Swift (iOS App); Backend: Node.js, Express.js; Database: PostgreSQL; Cloud: AWS",
Pine Labs,Fintech (Payment Processing),"Frontend: React, JavaScript, HTML, CSS; Backend: Java, Spring Boot; Database: MySQL; Cloud: Multi-Cloud (AWS, GCP)",
Druva,Cloud Data Management & Protection,"Frontend: React, JavaScript, HTML, CSS; Backend: Go; Database: Cassandra; Cloud: Multi-Cloud (AWS, GCP, Azure)",
HackerRank,Tech Hiring Platform,"Frontend: React, JavaScript, HTML, CSS; Backend: Python, Django; Database: PostgreSQL; Cloud: AWS",
Zoho,Cloud-based Office Suite,"Frontend: React, JavaScript, HTML, CSS; Backend: Multiple languages (Java, Python, C++); Database: PostgreSQL; Cloud: Multi-Cloud (AWS, GCP, Azure)",
FirstCry,E-commerce (Baby & Kids),"Frontend: React, JavaScript, HTML, CSS; Backend: Java, Spring Boot; Database: MySQL; Cloud: AWS",
MakemyShift,Staffing & Recruitment,"Frontend: React, JavaScript, HTML, CSS; Backend: Node.js, Express.js; Database: MongoDB; Cloud: Google Cloud Platform (GCP)",
Ola Electric,Electric Vehicles,"Focus on R&D using Python, Machine Learning frameworks, and Cloud-based platforms (specifics not publicly available)",
Meesho,Social Commerce,"Frontend: React Native (Mobile App), Kotlin (Android App); Backend: Python, Flask; Database: MySQL; Cloud: Google Cloud Platform (GCP)",
Delhivery,Logistics,"Frontend: React, JavaScript, HTML, CSS; Backend: Java, Spring Boot; Database: PostgreSQL; Cloud: Multi-Cloud (AWS, GCP)",
Unacademy,EdTech,"Frontend: React Native (Mobile App), Kotlin (Android App); Backend: Node.js, Express.js; Database: MongoDB; Cloud: Amazon Web Services (AWS)",
Rivigo,Logistics & Trucking,"Frontend: React, JavaScript, HTML, CSS; Backend: Python, Django; Database: PostgreSQL; Cloud: Multi-Cloud (AWS, Azure)",
RedBus,Online Bus Booking,"Frontend: React, JavaScript, HTML, CSS; Backend: Java, Spring Boot; Database: Oracle; Cloud: Microsoft Azure",
BankBazaar,Fintech (Financial Aggregator),"Frontend: React, JavaScript, HTML, CSS; Backend: Java, Spring Boot; Database: MySQL; Cloud: Multi-Cloud (AWS, GCP)",
CarDekho,E-commerce (Automobiles),"Frontend: React, JavaScript, HTML, CSS; Backend: Node.js, Express.js; Database: MongoDB; Cloud: Multi-Cloud (AWS, GCP)",
Zomato Now,Instant Delivery,"Frontend: React Native (Mobile App), Kotlin (Android App); Backend: Python, Django (with focus on microservices); Database: MySQL; Cloud: Google Cloud Platform (GCP)",
Lenskart,Retail (Eyewear),"Frontend: React, JavaScript, HTML, CSS; Backend: Node.js, Express.js; Database: MySQL; Cloud: AWS",
Bigbasket,E-grocery,"Frontend: React, JavaScript, HTML, CSS; Backend: Python, Django; Database: PostgreSQL; Cloud: Multi-Cloud (AWS, GCP)",
Nykaa,E-commerce (Beauty),"Frontend: React Native (Mobile App), JavaScript; Backend: Java, Spring Boot; Database: Oracle; Cloud: Microsoft Azure",
OYO Rooms,Hospitality,"Frontend: React Native (Mobile App), Kotlin (Android App); Backend: Python, Flask; Database: MySQL; Cloud: Google Cloud Platform (GCP)",
Zerodha,Fintech (Investments),"Frontend: React, JavaScript, HTML, CSS; Backend: Python, Django; Database: PostgreSQL; Cloud: Multi-Cloud (AWS, GCP)",
CureFit,Health & Wellness,"Frontend: React Native (Mobile App), Kotlin (Android App), Swift (iOS App); Backend: Node.js, Express.js; Database: MongoDB; Cloud: AWS",
